,Severity,Distance(mi),Side,State,State_Number,Timezone,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition,Day_Night
67,2,0.3229999999999999,0,OH,4,US/Eastern,42.0,100.0,6.0,3,1
68,2,1.185,0,OH,4,US/Eastern,52.0,74.0,10.0,3,1
69,2,0.562,0,PA,5,US/Eastern,50.0,87.0,10.0,4,1
70,2,0.138,0,PA,5,US/Eastern,50.0,94.0,10.0,3,0
71,4,0.625,0,KY,2,US/Eastern,40.0,51.0,10.0,3,1
72,2,0.368,0,IN,1,US/Eastern,50.0,44.0,10.0,4,1
73,3,0.191,0,OH,4,US/Eastern,47.0,56.0,10.0,4,1
74,4,0.826,0,OH,4,US/Eastern,40.0,56.0,10.0,4,0
75,2,0.489,0,KY,2,US/Eastern,67.0,30.0,10.0,4,1
76,2,0.11,0,IN,1,US/Eastern,64.0,33.0,10.0,4,1
77,2,0.414,0,OH,4,US/Eastern,41.0,73.0,10.0,3,1
78,2,0.104,0,WV,6,US/Eastern,45.0,60.0,10.0,3,1
79,4,0.645,0,PA,5,US/Eastern,45.0,61.0,10.0,3,1
80,4,0.5920000000000001,1,PA,5,US/Eastern,45.0,61.0,10.0,3,1
81,2,0.626,0,KY,2,US/Eastern,55.0,42.0,10.0,4,1
82,2,0.341,0,WV,6,US/Eastern,54.0,45.0,10.0,4,1
83,2,0.004,1,OH,4,US/Eastern,52.0,45.0,10.0,4,1
84,3,0.522,1,KY,2,US/Eastern,55.0,41.0,10.0,4,1
85,2,0.657,0,KY,2,US/Eastern,53.0,43.0,10.0,4,1
86,2,0.406,0,WV,6,US/Eastern,54.0,38.0,10.0,4,1
87,2,0.351,0,IN,1,US/Eastern,55.0,37.0,10.0,4,1
88,2,0.2319999999999999,0,OH,4,US/Eastern,45.0,53.0,10.0,3,0
89,2,1.067,0,KY,2,US/Eastern,49.0,48.0,10.0,4,0
90,2,0.126,0,KY,2,US/Eastern,56.0,49.0,10.0,3,1
91,2,0.001,0,OH,4,US/Eastern,47.0,66.0,5.0,3,1
92,3,0.192,0,OH,4,US/Eastern,51.0,96.0,7.0,3,1
93,2,0.205,0,OH,4,US/Eastern,51.0,96.0,7.0,3,1
94,2,0.21,0,OH,4,US/Eastern,56.0,51.0,10.0,3,1
95,2,0.223,0,OH,4,US/Eastern,50.0,96.0,10.0,3,1
96,2,0.392,0,PA,5,US/Eastern,63.0,27.0,10.0,3,1
97,2,0.192,0,OH,4,US/Eastern,49.0,83.0,10.0,3,1
98,2,0.0,0,OH,4,US/Eastern,48.0,100.0,8.0,3,1
99,2,0.8,0,OH,4,US/Eastern,49.0,83.0,10.0,3,1
100,2,0.2789999999999999,0,OH,4,US/Eastern,49.0,83.0,10.0,3,1
101,3,0.045,0,OH,4,US/Eastern,45.0,86.0,10.0,3,1
102,2,0.4589999999999999,0,KY,2,US/Eastern,40.0,43.0,10.0,4,1
103,3,0.254,0,OH,4,US/Eastern,40.0,89.0,6.0,3,1
104,2,0.606,0,IN,1,US/Eastern,44.0,73.0,10.0,3,0
105,2,0.0,0,KY,2,US/Eastern,53.0,45.0,10.0,3,1
106,2,0.4579999999999999,0,OH,4,US/Eastern,45.0,76.0,10.0,4,1
107,3,0.863,0,WV,6,US/Eastern,61.0,34.0,10.0,3,1
108,2,0.604,0,MI,3,US/Eastern,58.0,56.0,10.0,4,1
109,3,0.349,0,OH,4,US/Eastern,55.0,55.0,10.0,3,1
110,2,0.0,0,PA,5,US/Eastern,65.0,29.0,10.0,3,1
111,2,0.043,0,OH,4,US/Eastern,60.0,44.0,10.0,3,1
112,2,0.605,0,OH,4,US/Eastern,60.0,44.0,10.0,3,1
113,2,0.361,0,OH,4,US/Eastern,63.0,37.0,10.0,4,1
114,2,0.174,0,KY,2,US/Eastern,67.0,26.0,10.0,3,1
115,2,0.168,0,OH,4,US/Eastern,64.0,38.0,10.0,3,1
116,2,0.466,0,KY,2,US/Eastern,66.0,28.0,10.0,3,1
117,2,0.405,0,KY,2,US/Eastern,62.0,35.0,10.0,3,0
118,2,0.455,0,KY,2,US/Eastern,64.0,31.0,10.0,3,0
119,2,0.16,0,OH,4,US/Eastern,54.0,49.0,10.0,3,0
120,2,0.271,0,WV,6,US/Eastern,41.0,73.0,10.0,3,1
121,2,0.223,1,WV,6,US/Eastern,45.0,68.0,10.0,3,1
122,3,0.488,0,WV,6,US/Eastern,45.0,68.0,10.0,3,1
123,2,0.0,0,KY,2,US/Eastern,58.0,49.0,10.0,3,1
124,4,0.025,1,MI,3,US/Eastern,51.0,64.0,10.0,3,1
125,2,0.166,0,OH,4,US/Eastern,60.0,49.0,10.0,3,1
126,2,0.0,0,OH,4,US/Eastern,66.0,43.0,10.0,3,1
127,3,0.121,0,OH,4,US/Eastern,70.0,46.0,10.0,3,1
128,2,0.238,0,OH,4,US/Eastern,71.0,39.0,10.0,4,1
129,2,0.275,0,WV,6,US/Eastern,74.0,24.0,10.0,3,1
130,2,0.831,0,OH,4,US/Eastern,72.0,26.0,10.0,3,1
131,2,0.38,0,OH,4,US/Eastern,71.0,32.0,10.0,4,1
132,3,0.26,0,OH,4,US/Eastern,74.0,40.0,10.0,4,1
133,2,0.022,0,OH,4,US/Eastern,70.0,27.0,10.0,3,1
134,2,0.212,0,OH,4,US/Eastern,71.0,42.0,10.0,4,1
135,3,1.148,0,OH,4,US/Eastern,71.0,34.0,10.0,4,1
136,2,0.534,0,OH,4,US/Eastern,70.0,27.0,10.0,3,1
137,4,1.142,0,OH,4,US/Eastern,56.0,49.0,10.0,4,1
138,4,1.142,1,OH,4,US/Eastern,56.0,49.0,10.0,4,1
139,2,0.4270000000000001,0,OH,4,US/Eastern,56.0,64.0,10.0,4,1
140,2,0.999,0,OH,4,US/Eastern,54.0,66.0,10.0,3,1
141,4,0.536,0,WV,6,US/Eastern,52.0,69.0,10.0,4,1
142,2,0.183,0,OH,4,US/Eastern,59.0,62.0,10.0,4,1
143,3,0.275,0,KY,2,US/Eastern,56.0,80.0,10.0,4,1
144,2,0.198,0,OH,4,US/Eastern,59.0,55.0,10.0,3,1
145,2,0.198,0,OH,4,US/Eastern,64.0,52.0,10.0,3,1
146,2,0.581,0,KY,2,US/Eastern,69.0,53.0,10.0,4,1
147,3,0.008,0,KY,2,US/Eastern,69.0,51.0,10.0,3,1
148,2,0.447,0,KY,2,US/Eastern,69.0,51.0,10.0,3,1
149,3,0.7490000000000001,0,OH,4,US/Eastern,73.0,39.0,10.0,3,1
150,3,0.581,0,KY,2,US/Eastern,61.0,87.0,7.0,3,1
151,3,0.346,0,OH,4,US/Eastern,55.0,100.0,7.0,3,0
152,2,0.0,0,OH,4,US/Eastern,56.0,100.0,10.0,3,0
153,2,0.261,0,OH,4,US/Eastern,59.0,87.0,10.0,3,1
154,2,0.0,0,PA,5,US/Eastern,60.0,67.0,7.0,3,1
155,2,1.012,0,OH,4,US/Eastern,59.0,93.0,10.0,3,1
156,2,0.41,0,OH,4,US/Eastern,59.0,94.0,5.0,3,1
157,4,0.753,1,OH,4,US/Eastern,61.0,86.0,10.0,3,1
158,4,0.878,0,OH,4,US/Eastern,59.0,96.0,5.0,3,1
159,4,0.196,0,WV,6,US/Eastern,77.0,33.0,10.0,3,1
160,4,0.196,1,WV,6,US/Eastern,77.0,33.0,10.0,3,1
161,2,0.433,0,OH,4,US/Eastern,58.0,100.0,5.0,3,1
162,2,0.0,0,OH,4,US/Eastern,58.0,99.0,5.0,3,1
163,4,0.025,1,OH,4,US/Eastern,53.0,95.0,10.0,3,0
164,2,0.419,0,PA,5,US/Eastern,46.0,86.0,8.0,3,0
165,2,0.094,0,KY,2,US/Eastern,46.0,93.0,7.0,3,1
166,2,0.19,0,OH,4,US/Eastern,44.0,85.0,10.0,3,1
167,2,0.688,1,OH,4,US/Eastern,45.0,90.0,7.0,3,1
168,2,0.038,0,OH,4,US/Eastern,45.0,81.0,10.0,3,1
169,2,0.7709999999999999,0,KY,2,US/Eastern,52.0,80.0,9.0,3,1
170,4,0.3829999999999999,0,OH,4,US/Eastern,46.0,87.0,10.0,3,1
171,4,0.7709999999999999,0,OH,4,US/Eastern,45.0,80.0,10.0,3,1
172,2,0.356,0,WV,6,US/Eastern,50.0,89.0,10.0,3,1
173,2,0.362,0,OH,4,US/Eastern,52.0,77.0,10.0,3,1
174,2,0.314,0,MI,3,US/Eastern,47.0,71.0,10.0,3,1
175,2,0.527,0,IN,1,US/Eastern,49.0,81.0,10.0,3,1
176,2,0.131,0,OH,4,US/Eastern,58.0,49.0,10.0,3,1
177,2,0.402,0,OH,4,US/Eastern,48.0,69.0,10.0,4,1
178,2,0.7240000000000001,0,OH,4,US/Eastern,59.0,62.0,10.0,4,1
179,4,0.223,1,IN,1,US/Eastern,54.0,62.0,10.0,4,1
180,2,0.307,0,OH,4,US/Eastern,57.0,64.0,10.0,4,1
181,3,0.4370000000000001,0,OH,4,US/Eastern,57.0,51.0,10.0,4,1
182,2,0.541,0,OH,4,US/Eastern,56.0,67.0,10.0,4,1
183,2,0.375,0,OH,4,US/Eastern,42.0,76.0,10.0,3,1
184,2,0.213,0,PA,5,US/Eastern,44.0,73.0,10.0,4,0
185,2,0.0,0,OH,4,US/Eastern,44.0,76.0,10.0,3,0
186,4,0.425,1,OH,4,US/Eastern,43.0,86.0,7.0,4,1
187,3,0.71,0,WV,6,US/Eastern,57.0,69.0,10.0,3,1
188,2,0.88,0,OH,4,US/Eastern,63.0,45.0,10.0,3,1
189,3,0.31,0,OH,4,US/Eastern,48.0,68.0,10.0,3,1
190,3,0.109,0,OH,4,US/Eastern,50.0,93.0,10.0,3,1
191,3,0.2769999999999999,0,KY,2,US/Eastern,62.0,93.0,8.0,3,1
192,3,0.28,0,KY,2,US/Eastern,62.0,93.0,8.0,3,1
193,4,0.65,0,WV,6,US/Eastern,61.0,87.0,10.0,3,1
194,2,0.396,0,KY,2,US/Eastern,59.0,90.0,10.0,3,1
195,2,0.6609999999999999,0,OH,4,US/Eastern,61.0,83.0,6.0,2,1
196,3,0.5720000000000001,0,OH,4,US/Eastern,66.0,78.0,10.0,3,1
197,2,0.177,0,OH,4,US/Eastern,71.0,55.0,10.0,3,1
198,2,0.609,0,OH,4,US/Eastern,66.0,73.0,7.0,1,1
199,2,0.33,0,OH,4,US/Eastern,58.0,84.0,10.0,3,1
200,2,0.7020000000000001,0,OH,4,US/Eastern,66.0,83.0,10.0,4,1
201,2,0.499,0,OH,4,US/Eastern,61.0,87.0,10.0,4,1
202,2,0.33,0,IN,1,US/Eastern,62.0,84.0,10.0,3,1
203,2,0.962,0,OH,4,US/Eastern,57.0,89.0,9.0,3,0
204,2,0.4970000000000001,0,OH,4,US/Eastern,57.0,89.0,10.0,3,0
205,4,0.059,1,OH,4,US/Eastern,54.0,94.0,5.0,3,0
206,2,0.407,0,OH,4,US/Eastern,56.0,97.0,7.0,4,1
207,2,0.397,0,OH,4,US/Eastern,57.0,87.0,10.0,3,1
208,3,0.687,0,KY,2,US/Eastern,58.0,90.0,10.0,3,1
209,2,0.206,0,OH,4,US/Eastern,51.0,83.0,10.0,3,1
210,2,0.0,0,OH,4,US/Eastern,53.0,89.0,9.0,3,1
211,3,0.3720000000000001,0,OH,4,US/Eastern,55.0,88.0,5.0,3,1
212,2,0.0559999999999999,0,OH,4,US/Eastern,64.0,75.0,10.0,4,1
213,2,0.295,0,OH,4,US/Eastern,61.0,77.0,10.0,3,1
214,2,0.503,0,KY,2,US/Eastern,75.0,50.0,10.0,4,1
215,2,0.1969999999999999,0,OH,4,US/Eastern,67.0,59.0,10.0,3,1
216,2,0.272,0,OH,4,US/Eastern,54.0,75.0,10.0,3,1
217,3,0.341,0,OH,4,US/Eastern,55.0,74.0,10.0,3,1
218,2,0.201,0,KY,2,US/Eastern,73.0,53.0,10.0,4,1
219,4,0.6859999999999999,0,OH,4,US/Eastern,50.0,89.0,10.0,4,0
220,4,0.6859999999999999,1,OH,4,US/Eastern,50.0,89.0,10.0,4,0
221,4,0.716,0,OH,4,US/Eastern,62.0,62.0,10.0,3,1
222,4,0.445,1,OH,4,US/Eastern,62.0,62.0,10.0,3,1
223,4,0.506,0,OH,4,US/Eastern,62.0,62.0,10.0,3,1
224,3,0.209,0,KY,2,US/Eastern,57.0,53.0,10.0,4,1
225,2,0.48,0,KY,2,US/Eastern,57.0,53.0,10.0,4,1
226,2,0.156,0,WV,6,US/Eastern,67.0,45.0,10.0,3,1
227,3,0.126,0,KY,2,US/Eastern,61.0,42.0,10.0,4,1
228,2,0.684,0,KY,2,US/Eastern,61.0,39.0,10.0,4,1
229,2,0.262,0,OH,4,US/Eastern,57.0,51.0,10.0,4,1
230,2,0.0,0,PA,5,US/Eastern,68.0,43.0,10.0,3,1
231,4,0.341,0,IN,1,US/Eastern,58.0,40.0,10.0,3,1
232,2,0.3670000000000001,0,OH,4,US/Eastern,57.0,51.0,10.0,3,1
233,4,0.161,1,OH,4,US/Eastern,63.0,30.0,10.0,4,1
234,2,0.0,0,OH,4,US/Eastern,55.0,42.0,10.0,4,0
235,2,0.513,0,OH,4,US/Eastern,52.0,49.0,10.0,3,0
236,2,0.513,1,OH,4,US/Eastern,52.0,49.0,10.0,3,0
237,4,0.865,0,PA,5,US/Eastern,48.0,48.0,10.0,3,0
238,4,0.865,1,PA,5,US/Eastern,48.0,48.0,10.0,3,0
239,2,0.335,0,OH,4,US/Eastern,48.0,61.0,10.0,4,1
240,4,0.319,1,OH,4,US/Eastern,43.0,65.0,10.0,3,1
241,3,0.361,0,OH,4,US/Eastern,47.0,74.0,10.0,4,1
242,3,0.506,1,IN,1,US/Eastern,47.0,45.0,10.0,4,1
243,2,0.18,0,KY,2,US/Eastern,52.0,50.0,10.0,4,1
244,3,0.506,1,IN,1,US/Eastern,49.0,37.0,7.0,4,1
245,2,0.397,0,KY,2,US/Eastern,58.0,39.0,10.0,4,1
246,2,0.371,0,OH,4,US/Eastern,60.0,36.0,10.0,4,1
247,2,0.161,0,OH,4,US/Eastern,62.0,30.0,10.0,3,1
248,2,0.4539999999999999,0,OH,4,US/Eastern,51.0,46.0,10.0,3,1
249,2,0.573,0,OH,4,US/Eastern,61.0,24.0,10.0,3,1
250,2,0.2,0,OH,4,US/Eastern,59.0,28.0,10.0,3,1
251,2,0.484,0,OH,4,US/Eastern,56.0,29.0,10.0,3,1
252,2,0.024,0,OH,4,US/Eastern,58.0,24.0,10.0,4,1
253,4,0.473,0,OH,4,US/Eastern,58.0,24.0,10.0,4,1
254,2,0.4920000000000001,0,OH,4,US/Eastern,57.0,26.0,10.0,3,1
255,2,0.256,0,OH,4,US/Eastern,57.0,31.0,10.0,3,1
256,2,0.221,0,OH,4,US/Eastern,60.0,24.0,10.0,3,1
257,2,0.1969999999999999,0,OH,4,US/Eastern,58.0,28.0,10.0,3,1
258,2,0.161,0,OH,4,US/Eastern,45.0,65.0,10.0,3,1
259,2,0.06,1,OH,4,US/Eastern,45.0,65.0,10.0,3,1
260,4,0.97,1,OH,4,US/Eastern,58.0,26.0,10.0,3,1
261,2,0.22,0,OH,4,US/Eastern,49.0,39.0,10.0,4,0
262,2,0.289,0,PA,5,US/Eastern,43.0,51.0,10.0,4,1
263,2,0.262,0,OH,4,US/Eastern,41.0,61.0,10.0,4,1
264,2,0.254,0,PA,5,US/Eastern,51.0,35.0,10.0,4,1
265,3,0.581,0,KY,2,US/Eastern,56.0,44.0,10.0,4,1
266,4,0.918,0,PA,5,US/Eastern,59.0,23.0,10.0,3,1
267,2,0.851,0,IN,1,US/Eastern,54.0,30.0,10.0,4,1
268,2,0.821,0,IN,1,US/Eastern,63.0,27.0,10.0,4,1
269,2,0.316,0,WV,6,US/Eastern,64.0,18.0,10.0,3,1
270,2,0.034,0,OH,4,US/Eastern,44.0,65.0,10.0,3,1
271,2,0.6579999999999999,0,OH,4,US/Eastern,57.0,19.0,10.0,3,1
272,2,0.0,0,PA,5,US/Eastern,55.0,26.0,10.0,4,1
273,2,0.474,0,OH,4,US/Eastern,42.0,76.0,10.0,3,1
274,2,0.069,0,OH,4,US/Eastern,52.0,32.0,10.0,4,1
275,2,0.0,0,OH,4,US/Eastern,53.0,31.0,10.0,3,1
276,2,0.32,0,OH,4,US/Eastern,59.0,23.0,10.0,4,1
277,2,0.48,0,KY,2,US/Eastern,58.0,19.0,10.0,4,1
278,2,0.494,0,KY,2,US/Eastern,62.0,25.0,10.0,4,1
279,2,0.313,0,KY,2,US/Eastern,62.0,25.0,10.0,4,1
280,2,0.259,0,CA,0,US/Pacific,57.0,63.0,10.0,3,1
281,3,0.276,0,CA,0,US/Pacific,57.0,64.0,10.0,4,1
282,2,0.17,0,CA,0,US/Pacific,55.0,67.0,10.0,4,0
283,2,0.0,0,CA,0,US/Pacific,55.0,51.0,10.0,4,0
284,2,0.012,0,CA,0,US/Pacific,46.0,86.0,10.0,4,0
285,2,0.556,0,CA,0,US/Pacific,47.0,80.0,10.0,3,1
286,2,0.595,0,CA,0,US/Pacific,46.0,86.0,10.0,3,1
287,2,0.521,0,CA,0,US/Pacific,48.0,82.0,10.0,4,1
288,2,0.072,0,CA,0,US/Pacific,49.0,77.0,10.0,3,1
289,2,0.1169999999999999,0,CA,0,US/Pacific,52.0,83.0,10.0,3,1
290,2,0.048,0,CA,0,US/Pacific,51.0,80.0,10.0,3,1
291,2,0.15,0,CA,0,US/Pacific,56.0,75.0,10.0,3,1
292,2,0.927,0,CA,0,US/Pacific,52.0,77.0,10.0,4,1
293,2,0.027,0,CA,0,US/Pacific,55.0,64.0,10.0,3,1
294,3,1.027,0,CA,0,US/Pacific,60.0,47.0,10.0,4,1
295,2,0.0289999999999999,0,CA,0,US/Pacific,57.0,59.0,10.0,3,1
296,2,0.049,0,CA,0,US/Pacific,64.0,38.0,10.0,4,1
297,2,0.43,0,CA,0,US/Pacific,61.0,52.0,10.0,3,1
298,2,0.066,0,CA,0,US/Pacific,64.0,43.0,10.0,3,1
299,3,0.276,0,CA,0,US/Pacific,64.0,48.0,10.0,4,1
300,2,0.069,0,CA,0,US/Pacific,64.0,46.0,10.0,4,1
301,3,0.231,0,CA,0,US/Pacific,64.0,48.0,10.0,4,1
302,2,0.53,0,CA,0,US/Pacific,65.0,36.0,10.0,3,1
303,2,0.146,0,CA,0,US/Pacific,64.0,40.0,10.0,4,1
304,2,0.67,0,CA,0,US/Pacific,66.0,47.0,10.0,3,1
305,2,0.359,0,CA,0,US/Pacific,66.0,35.0,10.0,4,1
306,2,0.163,0,CA,0,US/Pacific,62.0,62.0,10.0,4,1
307,2,0.365,0,CA,0,US/Pacific,68.0,31.0,10.0,4,1
308,2,0.412,0,CA,0,US/Pacific,68.0,35.0,10.0,4,1
309,2,0.0,1,CA,0,US/Pacific,63.0,55.0,10.0,4,1
310,2,0.67,0,CA,0,US/Pacific,65.0,48.0,10.0,3,1
311,2,0.0,0,CA,0,US/Pacific,65.0,47.0,10.0,4,1
312,2,0.4920000000000001,0,CA,0,US/Pacific,66.0,46.0,10.0,4,1
313,2,0.243,0,CA,0,US/Pacific,66.0,32.0,10.0,4,1
314,2,0.0,0,CA,0,US/Pacific,61.0,62.0,10.0,3,1
315,2,0.391,0,CA,0,US/Pacific,61.0,63.0,10.0,4,1
316,2,0.2339999999999999,1,CA,0,US/Pacific,61.0,62.0,10.0,3,1
317,2,0.4539999999999999,0,CA,0,US/Pacific,65.0,40.0,10.0,3,1
318,2,0.0139999999999999,0,CA,0,US/Pacific,64.0,43.0,10.0,3,1
319,2,0.6409999999999999,0,CA,0,US/Pacific,60.0,57.0,10.0,3,1
320,2,0.146,0,CA,0,US/Pacific,61.0,60.0,10.0,3,1
321,2,0.324,0,CA,0,US/Pacific,59.0,48.0,10.0,4,1
322,2,0.7390000000000001,0,CA,0,US/Pacific,55.0,74.0,10.0,4,0
323,2,0.0,0,CA,0,US/Pacific,59.0,67.0,10.0,3,0
324,2,0.07,0,CA,0,US/Pacific,50.0,86.0,10.0,4,0
325,2,0.151,0,CA,0,US/Pacific,45.0,86.0,10.0,4,0
326,3,0.092,1,CA,0,US/Pacific,46.0,81.0,10.0,4,0
327,2,0.507,0,CA,0,US/Pacific,45.0,87.0,10.0,4,0
328,2,0.0,0,CA,0,US/Pacific,48.0,83.0,10.0,4,1
329,2,0.155,0,CA,0,US/Pacific,50.0,96.0,10.0,4,1
330,2,0.288,0,CA,0,US/Pacific,44.0,85.0,10.0,4,1
331,2,0.119,0,CA,0,US/Pacific,50.0,89.0,10.0,4,1
332,2,0.146,0,CA,0,US/Pacific,50.0,89.0,10.0,4,1
333,2,0.317,0,CA,0,US/Pacific,53.0,74.0,10.0,3,1
334,2,0.4679999999999999,0,CA,0,US/Pacific,53.0,74.0,10.0,3,1
335,2,0.085,0,CA,0,US/Pacific,53.0,74.0,10.0,3,1
336,3,0.318,0,CA,0,US/Pacific,53.0,83.0,10.0,4,1
337,2,0.039,0,CA,0,US/Pacific,55.0,80.0,10.0,4,1
338,2,0.466,0,CA,0,US/Pacific,57.0,62.0,10.0,4,1
339,2,0.5,0,CA,0,US/Pacific,55.0,80.0,10.0,4,1
340,2,0.064,0,CA,0,US/Pacific,55.0,80.0,10.0,4,1
341,2,0.072,0,CA,0,US/Pacific,54.0,47.0,10.0,4,1
342,3,0.151,0,CA,0,US/Pacific,58.0,67.0,10.0,3,1
343,2,0.55,0,CA,0,US/Pacific,58.0,67.0,10.0,3,1
344,2,0.294,0,CA,0,US/Pacific,58.0,67.0,10.0,3,1
345,2,0.317,0,CA,0,US/Pacific,59.0,72.0,10.0,4,1
346,2,0.345,0,CA,0,US/Pacific,58.0,67.0,10.0,3,1
347,3,0.263,0,CA,0,US/Pacific,56.0,77.0,10.0,4,1
348,2,0.53,0,CA,0,US/Pacific,56.0,77.0,10.0,4,1
349,2,0.266,0,CA,0,US/Pacific,60.0,62.0,10.0,4,1
350,2,0.53,0,CA,0,US/Pacific,63.0,60.0,10.0,4,1
351,2,0.4039999999999999,0,CA,0,US/Pacific,64.0,54.0,10.0,4,1
352,2,0.256,0,CA,0,US/Pacific,68.0,45.0,10.0,4,1
353,4,0.222,0,CA,0,US/Pacific,70.0,42.0,10.0,4,1
354,2,0.778,0,CA,0,US/Pacific,71.0,41.0,10.0,4,1
355,2,0.484,0,CA,0,US/Pacific,70.0,40.0,10.0,4,1
356,2,0.6629999999999999,0,CA,0,US/Pacific,67.0,59.0,10.0,3,1
357,2,0.562,0,CA,0,US/Pacific,70.0,49.0,10.0,4,1
